well_name,SecY-G,Ffh,FtsY,K,Liposome_name,Liposome_conc,Mg,SecE,buffer,combo
O13,5.0,0.6,0.6,85.0,DOPC,3.0,25.0,5.0,1.0,experiment
O14,5.0,0.6,0.6,85.0,DOPC,3.0,25.0,2.5,1.0,experiment
O15,5.0,0.6,0.0,135.0,no_lipo,0.0,25.0,5.0,1.0,experiment
O16,5.0,0.0,0.6,135.0,DOPC,3.0,25.0,0.0,1.0,experiment
O17,0.0,0.0,0.0,85.0,DOPC,3.0,25.0,5.0,1.0,Blank
O18,0.0,0.0,0.6,85.0,DOPC,3.0,25.0,5.0,1.0,Blank
O19,5.0,0.6,0.0,85.0,no_lipo,0.0,25.0,2.5,1.0,experiment
O2,5.0,0.6,0.0,85.0,no_lipo,0.0,25.0,5.0,1.0,experiment
O20,5.0,0.6,0.0,85.0,no_lipo,0.0,25.0,0.0,1.0,experiment
O21,5.0,0.0,0.0,135.0,no_lipo,0.0,15.0,5.0,1.0,experiment
O22,5.0,0.6,0.6,135.0,DOPC,3.0,25.0,0.0,1.0,experiment
O3,0.0,0.0,0.6,135.0,no_lipo,0.0,15.0,5.0,1.0,Blank
O4,5.0,0.6,0.6,135.0,DOPC,3.0,25.0,2.5,1.0,experiment
O5,5.0,0.6,0.6,135.0,no_lipo,0.0,25.0,2.5,1.0,experiment
O6,5.0,0.6,0.6,135.0,no_lipo,0.0,15.0,0.0,1.0,experiment
O7,5.0,0.6,0.0,85.0,no_lipo,0.0,25.0,0.0,1.0,experiment
O8,5.0,0.6,0.0,85.0,DOPC,3.0,25.0,2.5,1.0,experiment
O9,5.0,0.6,0.6,85.0,no_lipo,0.0,15.0,2.5,1.0,experiment
P1,5.0,0.6,0.6,85.0,DOPC,3.0,15.0,0.0,1.0,experiment
P10,5.0,0.0,0.6,135.0,DOPC,3.0,25.0,5.0,1.0,experiment
P11,5.0,0.0,0.6,85.0,DOPC,3.0,15.0,5.0,1.0,experiment
P12,5.0,0.6,0.6,135.0,no_lipo,0.0,25.0,0.0,1.0,experiment
P13,5.0,0.6,0.0,85.0,no_lipo,0.0,15.0,2.5,1.0,experiment
P14,5.0,0.6,0.6,85.0,no_lipo,0.0,25.0,0.0,1.0,experiment
P15,5.0,0.6,0.0,85.0,no_lipo,0.0,15.0,5.0,1.0,experiment
P16,5.0,0.6,0.0,135.0,DOPC,3.0,15.0,2.5,1.0,experiment
P17,0.0,0.6,0.0,135.0,DOPC,3.0,25.0,5.0,1.0,Blank
P18,5.0,0.0,0.6,135.0,DOPC,3.0,25.0,2.5,1.0,experiment
P19,5.0,0.0,0.0,135.0,no_lipo,0.0,25.0,5.0,1.0,experiment
P2,5.0,0.0,0.6,135.0,no_lipo,0.0,25.0,2.5,1.0,experiment
P20,5.0,0.6,0.6,85.0,no_lipo,0.0,15.0,0.0,1.0,experiment
P21,5.0,0.0,0.0,85.0,DOPC,3.0,15.0,2.5,1.0,experiment
P22,0.0,0.6,0.0,85.0,no_lipo,0.0,15.0,5.0,1.0,Blank
P3,5.0,0.6,0.6,135.0,DOPC,3.0,15.0,0.0,1.0,experiment
P4,5.0,0.6,0.6,85.0,no_lipo,0.0,15.0,5.0,1.0,experiment
P5,5.0,0.6,0.0,85.0,no_lipo,0.0,25.0,5.0,1.0,experiment
P6,5.0,0.0,0.0,85.0,no_lipo,0.0,25.0,5.0,1.0,experiment
P7,5.0,0.0,0.6,135.0,no_lipo,0.0,15.0,5.0,1.0,experiment
P8,5.0,0.6,0.6,85.0,DOPC,3.0,25.0,0.0,1.0,experiment
P9,0.0,0.0,0.6,85.0,no_lipo,0.0,25.0,0.0,1.0,Blank
